name,reviews.title,reviews.text,reviews.rating,Sentiment_Score,match,Sentiment_Category
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",great product,"['glad', 'find', 'onlin', 'usual', 'see', 'summer', 'store', 'bucket', 'conveni', 'add', 'tequila', 'refresh', 'drink', 'anytim', 'need', 'measur', 'mix', 'time', 'want', 'nice', 'cool', 'margarita', 'drink', 'store', 'well', 'refriger']",5.0,0.8591,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",great prosuct and great service,"['price', 'incred', 'deliveri', 'servic', 'better', 'could', 'hope']",5.0,0.7003,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Great for parties,"['alway', 'big', 'hit', 'pool', 'parti', 'also', 'good', 'keep', 'freezer', 'quick', 'easi', 'drink', 'delici']",5.0,0.4404,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",OMG!! Best weekend I have ever spent alone!!,"['spent', 'weekend', 'home', 'alon', 'work', 'enjoy', 'margarita', 'made', 'mix', 'bought', 'qualiti', 'tequila', 'ad', 'shot', 'grand', 'marin', 'fabul', 'rock', 'frozen', 'hmm', 'way', 'fabul']",5.0,0.7351,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",excellent,"['realli', 'tasti', 'especi', 'someon', 'doesnt', 'experi', 'make', 'drink', 'tast', 'good', 'better', 'bar', 'restaur', 'fraction', 'cost']",5.0,0.7003,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Very tasty,"['love', 'get', 'ounc', 'le', 'make', 'great', 'margarita', 'hate', 'avail', 'store', 'great', 'parti']",5.0,0.8658,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz","Surprisingly good Margaritas, low price","['make', 'tasti', 'frozen', 'margarita', 'low', 'price', 'good', 'wellknow', 'chain', 'restaur', 'margarita', 'highli', 'recommend']",5.0,0.5106,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Very good,"['tast', 'great', 'easi', 'dispens']",5.0,0.6249,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Great product,"['love', 'easi', 'mix']",5.0,0.6369,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Margarita,"['order', 'that', 'allow', 'websit', 'use', 'sell', 'walmart', 'greensburg', 'pa', 'anymor', 'love', 'good', 'need', 'sold', 'store']",5.0,0.8402,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",very good flavor,"['good', 'valu', 'cost']",5.0,0.4404,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Convenient,"['definit', 'best', 'tast', 'way', 'make', 'one', 'conveni', 'portabl']",4.0,0.6369,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Broken bucketSS,"['order', 'bucket', 'open', 'coupl', 'bucket', 'hole', 'bottom', 'margarita', 'good']",2.0,0.4404,False,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",great price for the content,"['got', 'sister', 'us', 'mixer', 'drink', 'local', 'walmart', 'didnt', 'stock']",5.0,0.0,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Delish,"['hit', 'parti']",5.0,0.0,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Great for bbg and parties,"['usual', 'make', 'marquerita', 'bit', 'bbq', 'parti', 'dodnt', 'want', 'spend', 'time', 'make', 'someon', 'need', 'drink', 'bought', 'bucket', 'tasti', 'highli', 'recommend', 'anyon', 'want', 'spend', 'time', 'prepar', 'scratch']",5.0,0.4767,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Service,"['great', 'item', 'readi', 'pickup', 'time', 'manner', 'howev', 'wish', 'could', 'order', 'time', 'need', 'end', 'place', 'order']",5.0,0.7783,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Best tasting margarita around!!!',['jojo'],5.0,0.0,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",great prosuct and great service,"['price', 'incred', 'deliveri', 'servic', 'better', 'could', 'hope']",5.0,0.7003,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Broken bucketSS,"['order', 'bucket', 'open', 'coupl', 'bucket', 'hole', 'bottom', 'margarita', 'good']",2.0,0.4404,False,1
Powell Mahoney174 Lemon Sour Mix - 750ml Bottle,I will buy this product again!,"['great', 'make', 'bourbon', 'sour']",5.0,0.6249,True,1
"Mr _ Mrs T Margarita Mix, 5.5 fl oz, ()",Best Margarita mix,"['great', 'margarita', 'mix', 'love', 'small', 'can', 'want', 'wast', 'great', 'take', 'go']",5.0,0.9287,True,1
"Mr _ Mrs T Margarita Mix, 5.5 fl oz, ()",great product,"['easi', 'tasti', 'way', 'make', 'margarita', 'ice', 'ninja']",5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",AWESOME!,"['great', 'tast']",5.0,0.6249,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",One of the best!,"['one', 'best', 'afford', 'mix']",5.0,0.6369,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",great taste,"['great', 'tast', 'make', 'good', 'mixer']",5.0,0.7906,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Zing Zang,"['zing', 'zang', 'new', 'bought', 'store', 'year', 'glad', 'find', 'walmart', 'competit', 'price', 'right', 'spice']",5.0,0.4588,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Best Bloody Mary mix you can buy,"['amaz', 'bloodi', 'mari', 'mix', 'great', 'bloodi', 'mari', 'great', 'red', 'beer']",5.0,0.8481,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Best bloody Mary mix ever,"['love', 'mix', 'right', 'amount', 'season', 'hot', 'best', 'ever']",5.0,0.8555,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Outstanding,"['small', 'kick', 'delici']",5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Zing Zang,"['best', 'tast', 'mix', 'tast', 'good', 'without', 'liquor']",5.0,0.7964,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz","Love it, not to spicy!!","['love', 'spici']",5.0,0.6369,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",great mix!!!,"['favor', 'buy', 'mix', 'amaz']",5.0,0.4019,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Zing zang,"['great', 'tast', 'everyon', 'tast', 'parti', 'love']",5.0,0.8519,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Really great!,"['good', 'weekend', 'brunch', 'bloodi', 'mari']",5.0,0.4404,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Good stuff!!,"['great', 'tast', 'n', 'great', 'qualiti']",5.0,0.8481,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Yummy,['delish'],5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Zing Zang,['yummmmmmmyyyy'],5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",love it,"['make', 'best', 'bloodi', 'mari']",5.0,0.6369,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Love!,"['next', 'homemad', 'awesom']",5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Price,"['good', 'product', 'littl', 'pricey']",4.0,0.4404,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Very tasty mix,[],5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Delicious,"['perfect', 'mix']",5.0,0.5719,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",BMMix,"['good', 'mix', 'would', 'give', 'five', 'star', 'except', 'like', 'mine', 'quit', 'hot', 'still', 'good', 'would', 'buy', 'need', 'pinch', 'le', 'heat', 'like', 'drink', 'littl', 'spici', 'side', 'sure', 'like']",4.0,0.9274,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",I love zing zang,"['zing', 'zang', 'great', 'drink', 'supplement', 'diet', 'im', 'crave', 'spici', 'food', 'perfect', 'combin', 'tomato', 'juic', 'spice', 'make', 'drink', 'delici']",5.0,0.8316,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Best Taste by far,"['ive', 'tri', 'sever', 'bloodi', 'mari', 'mix', 'drink', 'choic', 'zing', 'zang', 'absolut', 'perfect', 'blend', 'flavor', 'spice', 'absolut', 'favorit', 'must', 'tri']",5.0,0.5719,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",The Best Bloody Mix,"['tri', 'mix', 'la', 'excit', 'see', 'sold', 'local', 'walmart', 'best', 'bloodi', 'mix', 'ever']",5.0,0.6369,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Good Mix,"['good', 'love', 'spici', 'bloodi', 'mari']",5.0,0.7964,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",ZingyZangy,"['husband', 'add', 'beer', 'instead', 'tomato', 'juic']",5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Great product! Best out there!,"['great', 'product']",5.0,0.6249,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Awesome,"['best', 'mixer', 'ever', 'good', 'price']",5.0,0.7964,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Zing zang,"['enjoy', 'mix']",5.0,0.4939,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Yummy,"['zing', 'zang', 'bloodi', 'mari', 'mix', 'delici', 'pepperi', 'new', 'favorit', 'mix']",5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",OMG! So Good!,"['spici', 'terrif', 'bloodi', 'mari', 'mix']",5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Best of the Best!!,"['tri', 'lot', 'bloodi', 'mari', 'mix', 'even', 'sent', 'away', 'across', 'countri', 'good', 'mix', 'far', 'best', 'cours', 'add', 'celeri', 'scallion', 'stuf', 'oliv', 'rosemari', 'perfect', 'better', 'walmart', 'start', 'carri', 'use', 'year']",5.0,0.9287,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Awesome,['awesom'],5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Excellent choice,"['first', 'choic', 'mixer']",5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Zing zang,"['love', 'love', 'love']",5.0,0.9274,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Best bloody mary mix ever,"['also', 'good', 'red', 'beer', 'lot', 'spice', 'tang']",5.0,0.4404,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Great Bloody Mary Mix,"['use', 'bloodi', 'mari', 'year', 'best', 'one', 'ever', 'could', 'stand', 'lower', 'price', 'one', 'dollar', 'match', 'sam', 'club', 'price', 'sam', 'stock', 'price', 'still', 'littl', 'lower', 'retail', 'store', 'area']",5.0,0.2023,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",The best Bloody Mary mix!,"['best', 'bloodi', 'mari', 'mix', 'ever']",5.0,0.6369,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Good stuff,['best'],5.0,0.6369,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Good buy,"['like', 'zingi', 'bloodi', 'mari', 'mix', 'need', 'mess', 'addit', 'spice']",5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Best Bloody Mary mix around!,"['full', 'flavor', 'spiceno', 'need', 'add', 'extrasexcept', 'vodka', 'cours']",5.0,0.0,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Zing Zang,"['far', 'best', 'bloodi', 'mari', 'mix', 'market']",5.0,0.6369,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Delicious,"['thing', 'add', 'prefer', 'garnishand', 'lime', 'like', 'tast', 'great', 'wo', 'alcohol', 'rock']",5.0,0.765,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",ZING ZANG,"['great', 'mix', 'right', 'amount', 'spice']",5.0,0.6249,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Excellent,"['item', 'great', 'bloodi', 'mari', 'super', 'chili']",5.0,0.8402,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Great taste,"['lot', 'great', 'tast', 'one', 'mix']",5.0,0.6249,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Zing Zang bloody mary mix,"['like', 'product', 'drink', 'straight', 'refresh', 'drink', 'ice', 'sinc', 'told', 'product', 'made', 'sever', 'purchas', 'recommend', 'differ', 'drink', 'choic']",5.0,0.7096,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Bloody Mary mix,"['use', 'birthday', 'parti', 'everyon', 'enjoy', 'purchas']",5.0,0.4939,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Expensive but great !,"['love', 'flavor', 'spice', 'great', 'bloodi', 'mari', 'red', 'beer']",5.0,0.8519,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Zing Zang,"['great', 'bloodi', 'mari', 'dress', 'chelada']",5.0,0.6249,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Awesome,"['love', 'iti', 'howev', 'wish', 'individu', 'serv']",5.0,0.7845,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Yummy,"['bitter', 'tast', 'spici', 'enough', 'price', 'good', 'price']",4.0,0.0258,True,1
"Zing Zang Bloody Mary Mix, 32 fl oz",Very Good tasting,"['best', 'bloodi', 'mari', 'mix', 'ever']",5.0,0.6369,True,1
"Mr _ Mrs T Original Bloody Mary Mix, 1.75 L",Great taste!,"['realli', 'enjoy', 'drink', 'made', 'mr', 'mr', 'sometim', 'mix', 'half', 'bloodi', 'mari', 'mix', 'either', 'v', 'clamto', 'juic', 'tast', 'great']",5.0,0.8074,True,1
"Mr _ Mrs T Original Bloody Mary Mix, 1.75 L",Always use this brand.,"['great', 'product', 'great', 'price']",5.0,0.8481,True,1
"Mr _ Mrs T Original Bloody Mary Mix, 1.75 L",Best taste,"['brand', 'come', 'close', 'excel', 'tast']",5.0,0.4588,True,1
"Mr _ Mrs T Original Bloody Mary Mix, 1.75 L",Drink mix,['tasti'],1.0,0.0,False,1
Coco Real174 Cream Of Coconut Drink Mix - 21oz,We love coco real!!!,"['great', 'use', 'cream', 'coconut', 'often', 'hate', 'buy', 'can', 'save', 'use', 'coco', 'real', 'product', 'allow', 'use', 'amount', 'need', 'save', 'rest', 'tast', 'coco', 'real', 'wonder', 'weve', 'use', 'drink', 'even', 'burger', 'never', 'complaint']",5.0,0.8621,True,1
"Master of Mixes Big Bucket Strawberry Margarita Daiquiri Mixer, 96 fl oz",Slushy Machines,"['big', 'hit', 'daughter', 'wed']",4.0,0.0,True,1
"Master of Mixes Big Bucket Strawberry Margarita Daiquiri Mixer, 96 fl oz",Delicious,"['love', 'stuff', 'add', 'vodka', 'freez', 'scoop', 'great', 'slushi']",5.0,0.872,True,1
"Master of Mixes Big Bucket Strawberry Margarita Daiquiri Mixer, 96 fl oz",It is what it it is,"['mix', 'insid', 'contain', 'smell', 'similar', 'kool', 'aid', 'good', 'sugari', 'drink', 'mix', 'access', 'blender', 'time', 'make', 'homemad', 'product', 'unavail', 'decent', 'price', 'though', 'guest', 'seem', 'like', 'word', 'caution', 'pour', 'anyth', 'bucket', 'care', 'inspect', 'bottom', 'bucket', 'spout', 'damag', 'one', 'bucket', 'uknowlingli', 'damag', 'lost', 'substanti', 'amount', 'margarita', 'drip', 'freezer', 'cheer']",3.0,0.8625,True,1
"Master of Mixes Big Bucket Strawberry Margarita Daiquiri Mixer, 96 fl oz",Great addition to party,"['love', 'frozen', 'drink', 'easi', 'prepar', 'great', 'tast', 'parti']",5.0,0.8519,True,1
"Master of Mixes Big Bucket Strawberry Margarita Daiquiri Mixer, 96 fl oz",Quick and easy,"['ad', 'rum', 'made', 'great', 'refresh', 'dink', 'pool']",4.0,0.6249,True,1
"Master of Mixes Big Bucket Strawberry Margarita Daiquiri Mixer, 96 fl oz",Great product!!,"['order', 'onlin', 'offer', 'store', 'wish', 'store', 'ship', 'quick', 'prompt', 'show', 'store', 'day', 'earli', 'perfect', 'game', 'night', 'delici', 'easi', 'make']",5.0,0.7506,True,1
"Master of Mixes Big Bucket Strawberry Margarita Daiquiri Mixer, 96 fl oz",Drink,"['tast', 'awesom']",3.0,0.0,True,1
"Master of Mixes Big Bucket Strawberry Margarita Daiquiri Mixer, 96 fl oz",Ms.,['excel'],5.0,0.4588,True,1
"Master of Mixes Big Bucket Strawberry Margarita Daiquiri Mixer, 96 fl oz",Best mix,"['avail', 'store']",5.0,0.0,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Very good tasting,"['husband', 'say', 'love', 'flavor']",5.0,0.6369,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Love the bold and spicy flavor!,"['tast', 'delici', 'without', 'vodka']",5.0,0.0,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",used a a beer mix,"['best', 'senc', 'snappi', 'tom']",5.0,0.6369,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Bloody Mary,"['god', 'tasti']",5.0,0.2732,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Spicy Bloody Mary Mix,"['love', 'extra', 'kick']",5.0,0.6369,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Mr Mrs bold spicey !,"['drink', 'quit', 'awhil', 'like', 'better', 'hot', 'v']",5.0,0.6597,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Best price I've ever paid!,"['cant', 'beat', 'deal', 'review', 'collect', 'part', 'promot']",5.0,0.0,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Yum,"['delici', 'would', 'highli', 'recommend']",5.0,0.3612,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",5 stars,"['use', 'cook', 'enough', 'kick']",5.0,0.0,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Mr. Mrs. T's Bold and Spicy Bloody Mary Mix,"['ship', 'well', 'without', 'spillag', 'love', 'product', 'place', 'vbe', 'louisiana', 'love', 'spici']",5.0,-0.6844,False,0
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Excellent-I buy it but the case,"['excellenti', 'biy', 'case', 'everi', 'week']",5.0,0.0,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",More to Love,"['nice', 'big', 'bottl', 'bloodi', 'mari', 'mix', 'cant', 'find', 'store', 'time', 'even', 'carri', 'larg', 'bottl', 'usual', 'origin', 'flavor', 'spici', 'good', 'deal', 'compar', 'place']",5.0,0.6908,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",bloody mary mix,"['look', 'spici', 'bloodi', 'mari', 'mix', 'great']",5.0,0.6249,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Bloody Mary mix,"['enjoy', 'flavor']",4.0,0.4939,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Explains what you need to know,"['tri', 'sever', 'differ', 'bloodi', 'mari', 'mix', 'found', 'one', 'one', 'like', 'best']",5.0,0.7717,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L","i love it, it tastes yummy in my beer.","['friend', 'told', 'product', 'tri', 'love', 'wish', 'knew', 'sooner']",5.0,0.8779,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Id buy again,['tasti'],4.0,0.0,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Bloody Mary mix,"['excel', 'thick', 'rich', 'right', 'amount', 'kick', 'alway', 'order', 'jet', 'travel']",5.0,0.765,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Love it!,"['realli', 'good', 'right', 'amput', 'spice', 'like', 'spicey']",5.0,0.6597,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",PERFECT BLEND,"['love', 'spici', 'enough', 'kick', 'way', 'better', 'origin']",4.0,0.7964,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",cheap,"['spici', 'job']",5.0,0.0,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Mr Mrs. T's,"['far', 'best', 'mix', 'good', 'bloodi', 'mari']",4.0,0.7964,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Excellent,"['love', 'flavor']",5.0,0.6369,True,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",Mr.Mrs.T's,"['product', 'flavor', 'bland', 'call', 'spici']",1.0,0.0,False,1
"Mr _ Mrs T Bold _ Spicy Bloody Mary Mix, 1.75 L",taste,"['think', 'put', 'much', 'sucros', 'mix', 'good', 'would', 'better', 'le', 'sweet']",4.0,0.8316,True,1
"Mr _ Mrs T Strawberry Daiquiri Margarita Mix, 33.8 oz ()",a great tasting mix,"['well', 'balanc', 'good', 'tast', 'mix', 'would', 'recommend', 'mix']",4.0,0.7579,True,1
"Malta Goya Malt Beverage, 7 fl oz",A repeat buyer,"['product', 'alway', 'deliv', 'qualiti', 'fresh', 'mani', 'goya', 'product', 'grew', 'drink', 'sever', 'brand', 'goya', 'deliv', 'best', 'one', 'deserv', 'excel', 'mark', 'unfortun', 'deliveri', 'process', 'slow', 'time', 'last', 'order', 'still', 'miss', 'door', 'front']",4.0,0.836,True,1
"Malta Goya Malt Beverage, 7 fl oz",I love it,"['sweet', 'tasti']",5.0,0.4588,True,1
"Malta Goya Malt Beverage, 7 fl oz",Almost....,"['great', 'product', 'arriv', 'one', 'broken', 'made', 'quit', 'big', 'mess', 'box']",4.0,-0.128,False,0
"Malta Goya Malt Beverage, 7 fl oz",Breastfeeding,"['dont', 'think', 'tast', 'wonder', 'chug', 'work', 'great', 'woman', 'breastfeed', 'want', 'increas', 'breast', 'milk']",5.0,0.6597,True,1
"Malta Goya Malt Beverage, 7 fl oz",Good Price,"['cant', 'beat', 'price', 'happi']",5.0,0.0,True,1
"Malta Goya Malt Beverage, 7 fl oz",good,"['good', 'product']",5.0,0.4404,True,1
"Malta Goya Malt Beverage, 7 fl oz","Good , delicious drink!","['alway', 'classic', 'never', 'disappoint', 'never', 'anoth', 'sugar', 'cane', 'drink', 'good', 'one', 'goya', 'know', 'good']",5.0,0.794,True,1
"Malta Goya Malt Beverage, 7 fl oz",Puerto RIcan beverage,"['beverag', 'realli', 'good', 'anyon', 'want', 'rememb', 'puerto', 'rico']",5.0,0.4939,True,1
"Malta Goya Malt Beverage, 7 fl oz",Malta,"['im', 'pr', 'puertorican', 'love', 'malta', 'realli', 'good', 'walmart', 'bring', 'product']",5.0,0.7964,True,1
"Rose's Cocktail Infusions Sour Apple Mix, 20 fl oz",Appletini Mix - the BEST,"['best', 'mix', 'use', 'appletini', 'tast', 'great', 'tri', 'other', 'noth', 'compar', 'rose', 'everyon', 'alway', 'comment', 'cool', 'bottl', 'sweet', 'side', 'like', 'tri']",5.0,0.9442,True,1
"Rose's Cocktail Infusions Sour Apple Mix, 20 fl oz",Nice Mixer.,"['look', 'everywher', 'product', 'start', 'think', 'would', 'luck', 'tri', 'walmartcom', 'last', 'resort', 'glad', 'thank', 'walmart']",5.0,0.8176,True,1
"Rose's Cocktail Infusions Sour Apple Mix, 20 fl oz",Yummy for Appletini,"['tast', 'like', 'thought', 'would', 'would', 'buy']",5.0,0.3612,True,1
"Rose's Cocktail Infusions Sour Apple Mix, 20 fl oz",Very tasty,['tasti'],5.0,0.0,True,1
